Date,Adj Close,stock_demand,year,month,week,day,dayofweek,week_of_month,is_weekend
2011-06-09,10.022833,-0.022674999999999557,2011,6,23,9,3,2,0
2011-06-10,9.853812,-0.16902100000000075,2011,6,23,10,4,2,0
2011-06-13,9.874976,0.021164000000000627,2011,6,24,13,0,2,0
2011-06-14,10.051556,0.17657999999999952,2011,6,24,14,1,2,0
2011-06-15,9.879512,-0.17204399999999964,2011,6,24,15,2,3,0
2011-06-16,9.831439,-0.048073000000000476,2011,6,24,16,3,3,0
2011-06-17,9.683282,-0.14815699999999943,2011,6,24,17,4,3,0
2011-06-20,9.533921,-0.14936100000000074,2011,6,25,20,0,3,0
2011-06-21,9.83567,0.30174900000000093,2011,6,25,21,1,3,0
2011-06-22,9.754336,-0.08133400000000002,2011,6,25,22,2,4,0
2011-06-23,10.01497,0.2606339999999996,2011,6,25,23,3,4,0
2011-06-24,9.867418,-0.14755199999999924,2011,6,25,24,4,4,0
2011-06-27,10.039461,0.1720429999999986,2011,6,26,27,0,4,0
2011-06-28,10.136819,0.09735799999999983,2011,6,26,28,1,4,0
2011-06-29,10.099931,-0.036887999999999366,2011,6,26,29,2,5,0
2011-06-30,10.149213,0.049281999999999826,2011,6,26,30,3,5,0
2011-07-01,10.378706,0.22949299999999972,2011,7,26,1,4,1,0
2011-07-05,10.565256,0.18655000000000044,2011,7,27,5,1,1,0
2011-07-06,10.635705,0.07044899999999998,2011,7,27,6,2,1,0
2011-07-07,10.800189,0.16448399999999985,2011,7,27,7,3,1,0
2011-07-08,10.876084,0.07589500000000093,2011,7,27,8,4,2,0
2011-07-11,10.703435,-0.17264899999999983,2011,7,28,11,0,2,0
2011-07-12,10.695877,-0.007558000000001286,2011,7,28,12,1,2,0
2011-07-13,10.824984,0.1291070000000012,2011,7,28,13,2,2,0
2011-07-14,10.817423,-0.007561000000000817,2011,7,28,14,3,2,0
2011-07-15,11.03361,0.21618699999999968,2011,7,28,15,4,3,0
2011-07-18,11.302102,0.2684920000000002,2011,7,29,18,0,3,0
2011-07-19,11.394325,0.09222300000000061,2011,7,29,19,1,3,0
2011-07-20,11.698187,0.3038620000000005,2011,7,29,20,2,3,0
